                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2673,                 2.6448,                 3.2281,                 1.4171,                0.60649,                0.24918,                0.30288,                0.20918,                0.59721,                0.24195,                0.29364,                0.19848,                 1.1947,                 2.3483,                 2.8083,                 1.4104,             0.00025342,             0.00025342,             0.00025342
                      2,                 1.0783,                 1.9292,                 1.9227,                  1.239,                0.53321,                0.55455,                0.50662,                0.34113,                 0.5266,                0.54829,                0.49502,                0.31363,                 1.1401,                 2.1557,                 1.9165,                 1.2981,             0.00050471,             0.00050471,             0.00050471
                      3,                 1.0251,                 1.7721,                 1.6351,                  1.191,                0.56262,                0.65168,                0.61954,                0.42699,                0.57036,                0.63455,                 0.6093,                0.39023,                  1.067,                 2.0553,                 1.5706,                 1.2768,             0.00075092,             0.00075092,             0.00075092
                      4,                0.97057,                 1.6461,                 1.4304,                 1.1423,                0.64392,                0.69335,                0.65388,                0.47047,                0.64501,                  0.684,                0.65392,                0.44056,                 1.0149,                 1.9001,                 1.4856,                 1.2077,             0.00074616,             0.00074616,             0.00074616
                      5,                0.94005,                 1.5851,                 1.3178,                 1.1216,                0.72906,                0.71898,                0.75793,                0.56954,                0.72405,                 0.7218,                0.75052,                0.52746,                0.92332,                 1.7855,                 1.1821,                 1.1556,             0.00073855,             0.00073855,             0.00073855
                      6,                0.90755,                 1.5183,                 1.2249,                 1.1104,                0.75316,                0.70106,                0.77521,                0.57442,                 0.7587,                0.69485,                0.76377,                 0.5342,                0.98111,                 1.7059,                 1.2495,                  1.178,             0.00073093,             0.00073093,             0.00073093
                      7,                0.88134,                 1.4862,                 1.1524,                 1.0907,                0.80385,                0.72068,                0.81617,                0.63894,                0.79897,                0.71628,                0.81057,                0.61277,                0.83715,                 1.5415,                 1.0616,                 1.0984,             0.00072332,             0.00072332,             0.00072332
                      8,                0.87016,                 1.4586,                 1.1054,                 1.0816,                0.82072,                0.78791,                0.84384,                0.65408,                0.81752,                0.78452,                0.83458,                0.61844,                  0.869,                 1.5194,                 1.0324,                 1.1113,             0.00071571,             0.00071571,             0.00071571
                      9,                0.84447,                 1.3817,                 1.0339,                 1.0681,                0.84595,                0.79721,                0.87715,                0.69394,                0.85181,                0.80115,                0.87923,                0.66882,                 0.8344,                 1.4584,                0.93817,                 1.0864,              0.0007081,              0.0007081,              0.0007081
                     10,                0.84492,                 1.3894,                 1.0117,                 1.0701,                0.81987,                0.79349,                0.87903,                0.68485,                0.80649,                0.81528,                0.87432,                0.65488,                0.84405,                 1.4696,                0.88881,                 1.0911,             0.00070048,             0.00070048,             0.00070048
                     11,                 0.8225,                 1.3442,                 0.9726,                 1.0585,                0.83539,                0.83021,                0.89063,                0.70584,                0.84724,                0.82308,                0.88786,                0.68657,                0.81673,                 1.3707,                0.82605,                 1.0677,             0.00069287,             0.00069287,             0.00069287
                     12,                0.81578,                 1.3246,                0.94801,                 1.0534,                0.85116,                0.82117,                0.89852,                0.72815,                0.83244,                  0.848,                0.90346,                0.70885,                0.78019,                 1.3108,                0.79904,                  1.054,             0.00068526,             0.00068526,             0.00068526
                     13,                0.79305,                 1.2954,                0.90081,                 1.0416,                0.83809,                  0.818,                0.87769,                 0.7007,                0.84343,                0.82382,                0.88465,                0.68377,                0.80592,                 1.3011,                 0.8055,                 1.0707,             0.00067764,             0.00067764,             0.00067764
                     14,                0.78779,                 1.2706,                0.86009,                 1.0381,                0.82555,                0.79964,                0.86225,                0.68835,                0.80504,                0.81752,                0.86112,                0.67048,                0.80992,                 1.3225,                0.86075,                 1.0672,             0.00067003,             0.00067003,             0.00067003
                     15,                0.77736,                 1.2716,                0.85666,                 1.0322,                0.87724,                0.81102,                0.89113,                0.70718,                0.88361,                0.81513,                0.89046,                0.69744,                0.81798,                 1.3364,                0.77261,                 1.0752,             0.00066242,             0.00066242,             0.00066242
                     16,                0.77199,                  1.239,                0.82053,                 1.0293,                0.86493,                0.88868,                0.92939,                0.74721,                0.87649,                0.88414,                0.92929,                 0.7277,                0.77558,                 1.2419,                0.70034,                 1.0438,              0.0006548,              0.0006548,              0.0006548
                     17,                0.76773,                 1.2435,                0.81162,                 1.0293,                0.88431,                0.85743,                0.92378,                 0.7501,                0.89173,                0.86246,                0.92585,                 0.7337,                0.75935,                 1.2727,                0.65677,                 1.0359,             0.00064719,             0.00064719,             0.00064719
                     18,                0.76211,                  1.222,                0.80489,                 1.0261,                0.86609,                0.84437,                0.90421,                0.74387,                0.87004,                0.84832,                0.90596,                0.72472,                0.74385,                 1.2389,                0.72069,                 1.0224,             0.00063958,             0.00063958,             0.00063958
                     19,                0.74867,                  1.198,                0.78524,                  1.015,                0.88467,                0.86441,                0.92403,                0.75916,                0.89371,                0.86036,                0.92499,                0.73927,                0.73631,                 1.2593,                0.63327,                 1.0175,             0.00063196,             0.00063196,             0.00063196
                     20,                 0.7495,                 1.1833,                 0.7678,                  1.014,                0.86843,                0.86077,                0.90588,                0.73639,                0.87145,                0.86487,                0.90911,                0.72638,                0.75167,                 1.1977,                0.68022,                 1.0292,             0.00062435,             0.00062435,             0.00062435
                     21,                0.73998,                  1.186,                0.74703,                 1.0103,                0.90672,                0.87453,                0.92894,                0.76131,                0.91986,                0.86496,                0.92959,                0.74351,                0.73768,                 1.2174,                0.64558,                 1.0162,             0.00061674,             0.00061674,             0.00061674
                     22,                0.73713,                 1.1748,                0.74903,                 1.0074,                0.90832,                0.84652,                0.92451,                0.76398,                0.86899,                0.88307,                0.92466,                0.75238,                0.73591,                 1.1854,                0.63608,                  1.021,             0.00060912,             0.00060912,             0.00060912
                     23,                0.73193,                 1.1655,                0.74118,                 1.0042,                0.90279,                0.86707,                0.93077,                0.76495,                0.89577,                0.86905,                0.93179,                0.75105,                0.74187,                  1.203,                0.60603,                 1.0203,             0.00060151,             0.00060151,             0.00060151
                     24,                0.72213,                 1.1446,                0.70409,                 1.0032,                0.90737,                0.88047,                0.94046,                0.77903,                0.90642,                0.87925,                0.93784,                0.76544,                   0.73,                 1.1769,                0.59938,                 1.0134,              0.0005939,              0.0005939,              0.0005939
                     25,                0.71518,                  1.142,                0.69947,                0.99383,                0.90351,                0.88191,                0.94268,                0.79019,                0.91136,                0.88268,                0.94689,                0.77008,                0.69969,                 1.1707,                0.57703,                 1.0023,             0.00058629,             0.00058629,             0.00058629
                     26,                 0.7193,                 1.1471,                 0.7245,                 1.0043,                0.90765,                0.88563,                0.93932,                0.78481,                0.91407,                0.88617,                0.94121,                0.77166,                0.69651,                 1.1205,                0.58327,                 1.0005,             0.00057867,             0.00057867,             0.00057867
                     27,                0.70646,                 1.1164,                0.68595,                0.99198,                0.94138,                0.84001,                0.93448,                0.77576,                0.93271,                0.86012,                0.94056,                0.75961,                0.73459,                 1.1971,                0.59261,                 1.0246,             0.00057106,             0.00057106,             0.00057106
                     28,                0.71068,                  1.112,                0.67994,                0.99679,                0.88682,                0.91775,                 0.9404,                0.77742,                0.88898,                0.91991,                0.94062,                0.76717,                0.71602,                 1.1779,                 0.5697,                 1.0028,             0.00056345,             0.00056345,             0.00056345
                     29,                0.70117,                 1.1096,                0.67378,                0.98926,                0.91648,                0.89147,                0.94105,                0.79588,                  0.924,                0.89569,                0.94002,                0.77875,                0.69226,                 1.1108,                0.54944,                0.98766,             0.00055583,             0.00055583,             0.00055583
                     30,                0.70019,                  1.118,                0.68073,                0.99393,                0.89183,                0.88637,                 0.9439,                0.78704,                0.89198,                0.88875,                0.94432,                0.77437,                 0.7071,                 1.1028,                0.55883,                0.99231,             0.00054822,             0.00054822,             0.00054822
                     31,                0.69112,                 1.0895,                0.65981,                0.98322,                0.90301,                0.89126,                0.94687,                0.79098,                0.89894,                0.90305,                0.95031,                0.77882,                 0.6922,                  1.091,                0.54194,                0.98969,             0.00054061,             0.00054061,             0.00054061
                     32,                 0.6888,                 1.0994,                0.65884,                0.98559,                0.90021,                0.90227,                0.94876,                0.79743,                0.90154,                0.90358,                 0.9507,                0.79327,                0.69804,                 1.0839,                0.55487,                0.99629,             0.00053299,             0.00053299,             0.00053299
                     33,                0.68186,                 1.0786,                0.65088,                0.98755,                 0.9053,                 0.8873,                0.94038,                0.78059,                0.90773,                0.88919,                0.94172,                0.77527,                0.71335,                 1.1168,                0.56849,                 1.0011,             0.00052538,             0.00052538,             0.00052538
                     34,                0.68243,                 1.0618,                0.63428,                0.97717,                0.93587,                0.87518,                0.94282,                0.79357,                0.94044,                 0.8785,                0.94086,                0.78479,                0.68354,                 1.1255,                0.53848,                 0.9882,             0.00051777,             0.00051777,             0.00051777
